Establishing 100 WCF channels
4/30/2018 8:43:31 PM count=463737 tasks=921
Warmup finished. reset counter.
4/30/2018 8:43:32 PM count=24544 tasks=1024
4/30/2018 8:43:33 PM count=49324 tasks=1013
4/30/2018 8:43:34 PM count=74834 tasks=1024
4/30/2018 8:43:35 PM count=99513 tasks=1024
4/30/2018 8:43:36 PM count=120709 tasks=638
4/30/2018 8:43:37 PM count=143217 tasks=1024
4/30/2018 8:43:38 PM count=166198 tasks=1001
4/30/2018 8:43:39 PM count=189011 tasks=998
4/30/2018 8:43:40 PM count=212997 tasks=1024
4/30/2018 8:43:41 PM count=235067 tasks=1024
4/30/2018 8:43:42 PM count=256462 tasks=1021
4/30/2018 8:43:43 PM count=278117 tasks=1019
4/30/2018 8:43:44 PM count=299402 tasks=971
4/30/2018 8:43:45 PM count=322405 tasks=910
4/30/2018 8:43:46 PM count=345296 tasks=1024
4/30/2018 8:43:47 PM count=367548 tasks=1015
4/30/2018 8:43:48 PM count=390846 tasks=1024
4/30/2018 8:43:49 PM count=413205 tasks=1024
4/30/2018 8:43:50 PM count=436614 tasks=991
4/30/2018 8:43:51 PM count=456541 tasks=549
4/30/2018 8:43:52 PM count=478945 tasks=983
4/30/2018 8:43:53 PM count=501161 tasks=954
4/30/2018 8:43:54 PM count=523738 tasks=378
4/30/2018 8:43:55 PM count=545890 tasks=995
4/30/2018 8:43:56 PM count=568327 tasks=986
4/30/2018 8:43:57 PM count=592868 tasks=1024
4/30/2018 8:43:58 PM count=619146 tasks=922
4/30/2018 8:43:59 PM count=643212 tasks=1024
4/30/2018 8:44:00 PM count=666776 tasks=1021
4/30/2018 8:44:01 PM count=692203 tasks=1021
4/30/2018 8:44:02 PM count=717886 tasks=1023
4/30/2018 8:44:03 PM count=738681 tasks=1024
4/30/2018 8:44:04 PM count=762861 tasks=1012
4/30/2018 8:44:05 PM count=785252 tasks=1014
4/30/2018 8:44:06 PM count=807138 tasks=1024
4/30/2018 8:44:07 PM count=829008 tasks=971
4/30/2018 8:44:08 PM count=852142 tasks=993
4/30/2018 8:44:09 PM count=871940 tasks=1021
4/30/2018 8:44:10 PM count=893161 tasks=953
4/30/2018 8:44:11 PM count=914463 tasks=1023
4/30/2018 8:44:12 PM count=936124 tasks=1024
4/30/2018 8:44:13 PM count=954856 tasks=1023
